Name,Age,Gender,Overall usage of smartphones (in hours),Time since you acquired your first phone?,Do you feel anxious when you  dont have your smartphones.,Arguments for using smartphone for long time,Can you live without phone?,Are you addicted to smartphone?,Do you use your smartphone while driving ,Do you spend time on physical activities?,Do you plug your cell phone into the wall next to your bed when you go to sleep?,Do you use your cell phone while its charging?
1,20,0,7,3,0,2,2,0,0,0,0,1
2,21,0,8,1,1,4,0,0,0,0,0,0
3,20,1,1,1,1,4,0,1,1,1,0,0
4,21,0,10,1,1,1,0,1,1,0,0,0
5,21,0,5,1,1,1,2,1,1,0,0,0
6,22,0,5,4,0,2,2,0,1,0,0,0
7,20,0,8,3,0,4,1,0,1,0,0,0
8,24,1,10,2,0,2,2,1,1,1,0,0
9,25,1,6,1,0,2,1,1,1,0,1,1
10,20,1,4,3,1,1,0,1,1,0,1,1
11,20,1,5,1,0,2,2,1,1,0,0,0
12,21,1,3,3,1,2,0,1,1,0,0,1
13,25,0,4,1,1,2,0,1,1,0,1,1
14,20,1,3,2,1,1,0,1,1,0,1,0
15,20,1,8,3,0,2,0,0,1,1,0,0
16,24,0,6,1,1,1,0,1,1,0,0,0
17,21,1,4,3,1,2,2,1,1,0,0,1
18,30,1,5,3,0,2,2,1,1,1,0,1
19,21,0,4,4,0,2,0,1,1,0,0,1
20,24,1,10,1,1,2,2,1,1,0,0,1
21,48,1,5,1,0,1,1,1,1,0,1,1
22,30,0,3,1,1,1,2,1,1,0,1,0
23,20,1,4,2,1,1,0,1,1,0,0,1
24,20,1,4,2,0,2,2,0,1,1,1,1
25,50,0,3,1,0,2,1,1,0,1,1,1
26,20,1,15,3,0,3,2,0,1,1,1,1
27,29,1,9,1,0,1,1,1,0,1,1,0
28,41,0,4,1,1,2,2,1,0,0,1,1
29,28,0,7,1,0,1,2,1,0,1,0,0
30,20,1,5,3,0,1,1,0,1,1,0,0
31,39,1,4,1,0,1,1,1,1,1,1,1
32,30,1,3,1,1,2,1,1,1,1,0,0
33,20,0,3,3,1,2,0,0,1,0,1,0
34,21,0,3,3,1,2,0,1,1,0,1,1
35,21,1,4,3,1,2,2,0,1,0,1,1
36,20,1,5,1,0,1,1,0,1,0,0,0
37,20,0,4,3,1,2,2,1,1,1,0,0
38,36,1,5,2,0,2,2,1,1,0,1,1
39,29,1,2,3,1,2,0,1,1,0,0,1
40,20,1,10,2,1,2,2,0,1,0,0,0
41,22,1,5,1,1,2,2,0,1,0,0,1
42,30,1,6,2,0,3,1,1,1,0,1,1
43,35,1,8,1,0,2,2,1,0,0,0,0
44,21,1,4,2,0,2,2,0,1,1,0,1
45,22,0,6,2,1,1,2,1,1,0,0,1
46,20,0,10,2,1,2,0,1,1,0,1,1
47,20,1,7,1,1,2,2,1,1,0,1,1
48,30,1,8,1,1,2,0,1,1,0,1,1
49,34,1,3,3,1,1,0,1,1,0,1,1
50,32,1,4,1,1,2,1,1,1,0,1,1
51,39,0,10,1,1,1,1,1,1,0,1,1
52,32,1,12,1,0,4,1,0,1,1,1,0
53,31,1,2,1,1,1,2,1,1,0,0,1
54,26,1,6,3,1,2,0,0,1,1,0,1
55,20,1,15,3,1,2,2,1,1,1,0,0
56,26,1,3,2,1,2,2,1,1,1,0,1
57,20,0,8,2,0,2,1,1,1,1,0,0
58,19,1,6,2,0,2,2,0,1,0,0,1
59,35,0,4,1,1,1,0,1,1,0,1,1
60,20,0,2,2,1,2,2,1,1,0,1,0
61,20,0,8,1,0,1,1,1,0,0,1,0
62,20,1,9,3,0,2,1,0,1,0,0,0
63,20,1,3,5,1,1,0,1,1,0,1,1
64,19,1,6,2,1,2,0,1,1,0,1,0
65,24,1,5,3,0,2,1,0,1,1,0,1
66,21,1,2,1,1,1,0,1,1,0,1,1
67,20,0,5,3,1,2,2,1,1,0,1,1
68,50,1,2,1,1,2,1,1,1,0,1,1
69,20,1,4,4,0,2,1,0,1,0,1,1
70,22,1,2,4,1,4,0,1,1,0,1,1
71,20,0,7,3,1,3,0,1,1,1,1,1
72,22,0,3,2,1,1,0,1,1,0,1,1
73,31,0,2,1,0,2,2,1,1,0,0,0
74,20,1,6,1,0,3,2,0,0,1,1,0
75,24,1,4,1,1,1,0,1,1,0,1,0
76,21,0,2,5,1,1,0,1,0,0,1,0
77,19,1,5,3,0,3,2,1,1,1,0,0
78,30,0,6,1,0,2,1,0,0,1,0,0
79,20,1,3,2,0,1,2,1,1,0,1,0
80,21,1,4,1,0,2,2,0,1,0,1,1
81,19,1,4,4,1,1,2,1,1,1,1,0
82,19,1,3,2,1,2,0,0,1,0,1,1
83,19,1,5,3,0,2,2,1,1,0,1,1
84,42,1,3,1,1,2,2,1,1,0,1,1
85,19,1,7,2,0,1,2,1,1,1,0,0
86,19,1,14,4,1,1,0,1,1,0,1,1
87,32,1,2,4,1,1,0,1,1,0,1,1
88,24,0,8,1,1,2,2,0,1,0,1,1
89,49,1,3,1,1,1,2,1,1,0,1,1
90,20,1,3,3,0,2,0,0,1,0,0,1
91,46,1,8,1,1,2,2,1,1,1,1,1
92,20,1,5,3,1,2,0,0,1,0,1,1
93,22,0,4,1,1,3,0,0,0,1,0,0
94,36,0,7,5,0,1,2,1,1,0,1,1
95,26,1,2,2,0,1,1,0,1,0,1,1
96,30,0,3,1,1,1,2,1,1,1,1,1
97,20,0,8,3,1,2,2,0,1,0,1,0
98,21,1,3,2,1,2,2,1,1,0,1,1
99,21,0,4,2,1,2,2,1,1,0,1,1
100,27,0,3,1,1,2,2,1,0,0,1,1
101,25,0,3,3,0,1,0,0,0,0,1,0
102,47,1,1,1,0,1,0,1,1,0,1,1
103,12,1,5,5,0,2,2,0,1,0,1,1
104,12,0,5,5,0,2,2,0,1,0,1,1
105,83,0,2,3,1,1,0,1,1,0,1,1
106,20,0,10,2,1,2,2,0,1,0,0,0
107,18,1,4,5,1,1,0,1,1,0,0,0
108,28,1,5,2,1,1,0,1,1,0,1,1
109,11,0,1,3,1,1,0,1,1,0,1,1
110,12,1,2,3,1,1,2,1,1,0,1,1
111,35,1,3,1,1,2,2,1,1,1,1,1
112,22,0,3,2,1,3,1,1,1,0,1,0
113,41,1,8,2,1,1,0,1,1,0,0,1
114,41,1,4,1,0,1,2,1,0,0,0,0
115,12,0,5,5,0,2,0,1,1,1,1,0
116,16,1,14,3,0,1,1,0,0,1,0,0
117,21,1,3,2,1,1,1,1,1,0,1,0
118,38,1,3,1,1,1,0,1,1,0,1,1
119,21,1,2,1,1,2,2,1,1,0,0,0
120,22,1,5,2,0,1,2,0,1,1,1,1
121,26,0,3,1,0,2,1,0,1,0,1,1
122,20,1,4,3,0,2,2,0,1,0,0,0
123,20,0,5,4,0,2,2,0,1,0,0,1
124,33,0,2,1,1,1,0,1,1,0,1,1
125,12,1,1,2,1,1,0,1,1,0,1,1
126,20,0,4,3,1,1,0,1,1,0,1,1
127,18,1,3,2,1,2,2,1,1,0,1,1
128,7,1,1,5,1,1,0,1,1,0,1,1
129,20,0,4,2,0,2,2,0,1,0,0,0
130,12,0,2,3,1,2,2,1,1,0,1,1
131,25,0,4,5,1,1,1,1,1,0,1,1
132,21,0,5,1,0,2,1,1,0,0,0,1
133,11,1,2,3,1,2,2,1,1,0,1,1
134,20,1,4,3,0,2,1,0,1,1,0,0
135,20,1,6,2,1,1,2,1,1,1,0,1
136,22,1,4,1,0,2,1,0,1,0,1,1
137,20,1,6,2,1,1,1,0,1,0,1,0
138,35,1,2,1,1,1,2,1,1,0,1,1
139,25,0,1,2,1,1,0,1,0,0,0,1
140,20,1,4,1,0,1,1,0,1,1,1,0
141,22,1,3,4,0,1,0,1,1,0,1,1
142,38,1,2,1,1,1,0,1,1,0,1,1
143,11,1,4,3,1,2,2,1,1,0,1,1
